,name,address,Phone,website,type1,type2,description,lat,lon
52,Kraft Family Ymca,"8921 Holly Springs Rd.,Apex, NC 27539",919-657-9622,https://www.ymcatriangle.org/locations/kraft-family-ymca,water park,water_park,"Outdoor pool, shallow pool, slide",35.691365,-78.77720512
68,Lake Lure Beach And Water Park,"2724 Memorial Hwy, Lake Lure, NC 28746",(828) 625-0077,https://lakeluretours.com,water park,water_park,NA,35.430019,-82.2289016
35,Lake Rim Aquatic Center (Pool),"Lake Rim Park, 2265 Tar Kiln Dr, Fayetteville, NC 28304",(910) 433-1018,https://www.fayettevillenc.gov/Parks-and-Recreation/Pools-Aquatics,water park,water_park,NA,35.02906,-79.04378022
2,Lexington Aquatic Park,"207 Forest Rose Drive, Lexington, NC 27295",(336) 242-1121,https://www.facebook.com/lexingtonaquaticpark/,aquatic center,water_park,Competition-size swimming pool with a zero-depth entry and splashpad,35.828612,-80.276618
30,Lineberger Park,"632 E Garrison Blvd, Gastonia, NC 28054",(704) 866-6839,https://www.gastonianc.gov/lineberger-park.html,water park,water_park,NA,35.25351,-81.17298451
71,Lion Water Adventure,"2602 West Vernon Avenue Kinston, NC 28504",(252) 939-1330,www.lionswateradventure.com,water park,water_park,NA,35.268694,-77.61779355
37,Lions Water Adventure,"2602 W Vernon Ave, Kinston, NC 28504",(252) 699-3009,http://lionswateradventure.com,water park,water_park,NA,35.268694,-77.61779355
38,Magic Mountain Fun Park,"3396 Holden Beach Rd SW, Supply, NC 28462",(910) 842-2727,https://www.tripadvisor.com/Attraction_Review-g49222-d12575915-Reviews-Magic_Mountain_Fun_Park-Holden_Beach_North_Carolina.html,water park,water_park,NA,33.923688,-78.27063391
15,Marion Diehl Recreation Center And Indoor Pool,"2219 Tyvola RoadCharlotte, NC 28210",980-314-1300,https://parkandrec.mecknc.gov/places-to-visit/rec-centers/marion-diehl-recreation-center-and-indoor-pool,recreation complex,water_park,Indoor,35.159338,-80.85887437
1,Mecklenburg County Aquatic Center,"800 E M.L.K. Jr Blvd, Charlotte, NC 28202",(980) 314-3483,https://parkandrec.mecknc.gov/Places-to-Visit/Pools-Beaches-Spraygrounds/mecklenburg-county-aquatic-center,aquatic center,water_park,Indoor pool & Hot tub,35.218376,-80.84015526
12,Millbrook Exchange Park,"1905 Spring Forest Rd, Raleigh, NC 27615",(919) 996-4156,https://raleighnc.gov/parks-and-recreation/places/millbrook-exchange-park#paragraph--230801,park,water_park,NA,35.866091,-78.6072309
10,Mountain Paradise Waterpark,"16823 US 221 N, Marion, NC, United States, North Carolina",(828) 756-4085,https://www.facebook.com/Mountainparadisewaterpark/,camground,water_park,"Outdoor pool, water slide, putt putt",35.874539,-81.94343942
40,Myrtle Waves Water Park,"3000 Mr. Joe White Ave, Myrtle Beach, SC 29577",(843) 913-9250,https://myrtlewaves.com,water park,water_park,NA,33.715021,-78.90012916
23,Neptune Island Waterpark,"1109 14th St, Hartsville, SC 29550",(843) 951-9400,https://www.neptuneisland.com/about-the-park,water park,water_park,NA,34.351467,-80.09322113
16,Northern Regional Recreation Center,"18121 Old Statesville Rd, Cornelius, NC 28031",(980) 314-6772,https://parkandrec.mecknc.gov/places-to-visit/rec-centers/northern-regional-recreation-center,recreation complex,water_park,Indoor pool & slides,35.459316,-80.84365027
53,Northwest Cary Ymca,"6903 Carpenter Fire Station Road,Cary, NC 27519",984-255-2409,https://www.ymcatriangle.org/locations/northwest-cary-ymca,water park,water_park,NA,35.823991,-78.87778385
21,Otter Creek Waterpark,"101 W Darby Rd, Greenville, SC 29609",(864) 834-4108,https://waterparks.greenvillerec.com/otter-creek/,water park,water_park,NA,34.961287,-82.35369385
62,Pack Square Park,"80 Court Plaza, Asheville, NC 28801",828-348-4770,https://www.ashevillenc.gov/service/find-a-pool-or-splasheville-information/,park,water_park,NA,35.595287,-82.5487928
54,Poole Family Ymca,"2110 Aversboro Road,Garner, NC 27529",919-582-9622,https://www.ymcatriangle.org/locations/poole-family-ymca,water park,water_park,"Outdoor pool, shallow pool, slide",35.683801,-78.61900595
25,RayS Splash Planet,"215 N Sycamore St, Charlotte, NC 28202",(980) 314-4729,https://parkandrec.mecknc.gov/Places-to-Visit/Pools-Beaches-Spraygrounds/rays-splash-planet,water park,water_park,Indoor,35.236691,-80.85253161
39,Rv Resort Water Park,"260 Old Crane Road Little River, SC 29566",843-390-4386,https://www.northmyrtlebeachrvresortanddrydock.com,water park,water_park,NA,33.848391,-78.66903178
43,Salty Pirate Waterpark,"8915 Reed Dr, Emerald Isle, NC 28594",(252) 354-2609,https://www.saltypiratewaterpark.com,water park,water_park,NA,34.659599,-77.05480023
5,Shark Wake Park 843,"150 Citizens Cir, Little River, SC 29566",(843) 399-9253,https://sharkwakepark.com/843/,water park,water_park,NA,33.84251,-78.711755
29,Shipwreck Cove Town Of Duncan,"119 S Spencer St, Duncan, SC 29334",(864) 949-0290,https://www.shipwreckcovewaterpark.com,water park,water_park,NA,34.933989,-82.14560259
63,Soaky Mountain Waterpark,"175 Gists Creek Rd, Sevierville, TN 37876",(833) 687-6259,https://soakymountainwaterpark.com,water park,water_park,NA,35.892355,-83.5810161
55,Southeast Raleigh Ymca,"1436 Rock Quarry Road,Raleigh, NC 27610",919-359-9622,https://www.ymcatriangle.org/locations/southeast-raleigh-ymca,water park,water_park,"Outdoor pool, shallow pool, slide",35.761511,-78.613995
22,Southtown Wake Park,"255 E Rambo Rd, Rock Hill, SC 29730",(803) 324-3020,https://southtownwakepark.com,water park,water_park,NA,34.874468,-81.07985872
36,SplashS Fun Park,"1592 White Lake Dr, White Lake, NC 28337",(910) 862-4064,https://www.thegrandregalresort.com/attractions/splashs-fun-park,water park,water_park,NA,34.636333,-78.48397909
60,Stowe Family Ymca Outdoor Water Park,"196 YMCA Dr, Belmont, NC 28012",(704) 822-9622,https://gastonymca.org/stowe-family-ymca-outdoor-water-park,water park,water_park,"Outdoor pool,slide, splashpad",35.263507,-81.02223616
9,Sun Crest Water Park,"6806 All Healing Springs Rd, Taylorsville, NC 28681",Ê(828) 446-0237,http://suncrestwaterpark.net,aquatic center,water_park,"Outdoor pools, slides, water adventure",36.000415,-81.26250402
56,Taylor Family Ymca,"101 YMCA Dr.,Cary, NC 27513",919-469-9622,https://www.ymcatriangle.org/locations/taylor-family-ymca,water park,water_park,"Outdoor pool, toddler pool, slide",35.776278,-78.83623728
28,The Quarry At Carrigan Farms,"1213 Oakridge Farm Hwy, Mooresville, NC 28115",(704) 664-1450,https://www.carriganfarms.com,water park,water_park,NA,35.601204,-80.77108304
61,Tidal Wave Bay,"14609 Catawba Trce, Charlotte, NC 28273",(704) 588-2600,https://www.carowinds.com,aquatic center,water_park,"Outdoor pool, water slide",35.106512,-80.941831
59,Twin Rivers Ymca,"100 YMCA Ln, New Bern, NC 28560",(252) 638-8799,https://ecymca.org,water park,water_park,"Outdoor pool,slide, splashpad",35.103298,-77.0657631
27,U.s. National Whitewater Center,"5000 Whitewater Center Pkwy, Charlotte, NC 28214",(704) 391-3900,https://whitewater.org,water park,water_park,"whitewater rafting, canoeing, kayaking, rappelling, rock climbing & more",35.272057,-81.00456351
72,Wet'n Wild Emerald Pointe,"3910 South Holden Road Greensboro, NC 27406",(336) 852-9721,https://www.emeraldpointe.com,water park,water_park,NA,36.008464,-79.83636812
20,Wetlands Water Park,"1523 Persimmon Ridge Rd, Jonesborough, TN 37659",(423) 753-1553,https://www.wetlandsjonesborough.com,water park,water_park,NA,36.291048,-82.49765178
73,White Lake Water Park,"192 NC Highway 53 East White Lake, NC 28337",(910) 872-0035,www.whitelakewaterpark.com,water park,water_park,NA,34.648257,-78.52035143
19,Wild Bear Falls Water Park,"915 Westgate Resorts Rd, Gatlinburg, TN 37738",(865) 430-4800,https://www.westgateresorts.com/hotels/tennessee/gatlinburg/westgate-smoky-mountain-resort/wild-bear-falls-water-park/?utm_source=google-gmb&utm_medium=organic&utm_campaign=wildbearwaterpk_wgwbi&y_source=1_OTc1MjIyOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,water park,water_park,NA,35.732348,-83.51801255
69,Wild Waterdome Indoor Waterpark,"190 Gists Creek Rd, Sevierville, TN 37876",(877) 325-9453,https://www.wildernessatthesmokies.com/waterparks/wild-waterdome-indoor-waterpark-at-wilderness-at-the-smokies/,aquatic center,water_park,NA,35.894965,-83.587165
65,Winston Waterworks Water Park,"3584 Winston Lake Rd, Winston-Salem, NC 27105",(336) 723-1615,https://www.cityofws.org/Facilities/Facility/Details/Winston-Waterworks-116,water park,water_park,NA,36.122378,-80.2039163
57,Ymca At Knightdale Station,"494 Knightdale Station Run,Knightdale, NC 27545",919-266-9622,https://www.ymcatriangle.org/locations/ymca-knightdale-station,water park,water_park,"Outdoor pool, toddler pool, slide",35.797421,-78.46996613
58,Ymca At Meadowmont,"301 Old Barn Lane,Chapel Hill, NC 27517",919-945-0640,https://www.ymcatriangle.org/locations/ymca-meadowmont,water park,water_park,"Outdoor pool, toddler pool, slide",35.908901,-79.01498078
